Standard Bangla,Chittagong,Noakhali,Barishal
এই মাগি এরা যে পর্ণ করেছে সেটাতো বল্লিনা মাগি কোথাকার,এই মাগী ইতারা যে পর্ণ গইজ্জি ইয়েন তো ন হছ মাগি হত্তুন।,এই মাগি এগুন যে পর্ণ ক‌ইচ্ছে হেটাতো ক‌ইলি না মাগি কোনানকার।,এই মাগি এরা যে পর্ণ হরছে হেইয়াতো বল্লিনা মাগি কোনহানকার।
এই মাগি নিয়ে নতুন করে বলার কি আছে,এই মাগিরে লই নতু ন গরি কি হইয়্যুম।,এই মাগি ল‌ই নোয়া করি ক‌ইবার কিয়া আছে।,এই মাগি নিয়া নতুন হইর‍্যা কওয়ার কি আলহে।
এই মাগিটা বাংলাদেশের একে আমি চুদবো,ইতি বাংলাদেশর মাগী ইতিরে আই চুইদ্দুম।,এই মাগিগা বাংলাদেশের এতিরে আঁই হোন্দামু।,এই মাগি বাংলাদেশের এরে মুই চুদতে চাই।
এই মাগিবাজ তর বউকে আমি চুদছি তর সাথে বিয়ে হবার আগে বিয়ের পরেও অনেক বার চুদছিকি করবি আমারে,এ মাগী বাজ তুড় বউরে আই চুইদ্দি বিয়ের আগে এদ্দের বিয়ের ফরেও বউত বার চুইদ্দি।,এই মাগিবাজ তোর বৌরে  আঁই হোন্দাইছি তোর লগে বিয়া অইবার আগে বিয়ার ফরেও বহুত বার হোন্দাইছি কিয়া ক‌ইরবি আঁরে।,এই মাগিবাজ তর বউরে মুই চুদছি তর লগে বিয়ে হবার আগে বিয়ের পরেও অনেক বার চুদছি কি হরবি মোরে।
এই মাগির পলা মরতে পারিস না কেনো মিথা কথা বলেছে,এই মাগীর ফুয়া মরিত ন ফারছ মিছা হথা কিল্লাই হছ।,এই মাগির হোলা ম‌ইত্তে ফারস না কিল্লাই মিছা কতা কছ।,এই মাগির পোলা মরতে পারো না কিজিন্যে মিথা কতা কইছে।
এই মাগির পুত খানকির পুত,এই মাগীর ফুয়া হাঙ্ককির ফুয়া।,এই মাগিরহুত খানকির হুত।,এই মাগির পোলা খানকির পোলা।
এই মাগির পোলা সালা তুই বাংলাদেশে আয়,এই মাগীর ফুয়া তুই বাংলাদেশত আয়।,এই মাগিরহোলা হালা তুই বাংলাদেশে আয়।,এই মাগির পোলা হালা তুই বাংলাদেশে আয়।
এই মাগির ফুয়া তুই নামায লইয়া গালি গালাজ করছ কেনে তর মারে ছুদি,এই মাগীর ফুয়া তুই নামাজ লই গাইল কিল্লাই দর তোর মারে চুদি।,এই মাগির হোলা তুই নামায লই গালি গালাজ করছ কা তোর মারে হোন্দাই।,এই মাগির পোলা তুই নামায লইয়া গালি গালাজ করো কিজিন্যে তোর মারে চুদি।
এই মাগী সারাদেশের ছেলেদেরকে দিয়ে চুদায় খানকি মাগী বেশ্যা,এই মাগী বাংলাদেশর ফুয়াছা দি চুদায় হাঙ্কি মাগী।,এই মাগী সারাদেশের হোলাগোরে দি হোন্দায় খানকি মাগী বেইশ্যা।,এই মাগী সারাদেশের পোলাগোকে দিয়া চুদায় খানকি মাগী বেশ্যা।
এই মাদার চোদ কে পিটাও,এই মাদারিসুদরে কেই খেছ।,এই মাদারচোদ রে ফিডা।,এই মাদার চোদরে মার।
এই মাদারচুদ রে কি কেউ কিছু করতে পারে না,এই মাদারিছুদরে কি কেই কিছু গরিত ন ফারিবু।,এই মাদারচোদ রে কি কেও কিছু ক‌ইত্তো হারে না।,এই মাদারচুদ রে কি কেউ কিছু হরতে পারে না।
এই মাদাৰচূদ কে মেৰে ফেলো মা বাবা আমাদেৰ মাতাৰ তাজ এই শালাৰ ফাশী চাই,এই মাদারচছুদরে মারি ফেল মা বাপ আরার মাথার তাজ  ইতের ফাসি চাই।,এই মাদারচোদরে মারি হালা মা বাফ আনগোর মাতার তাজ এই হালার ফাঁসি চাই।,এই মাদারচোদরে হাইর‍্যা হালা মা বাবা মোদের। মাহতাব তাজ এই ভালার ফাশি চাই।
এই মানুষ রুপি অমানুষটাকে পুড়িয়ে হত্যা করা হোক,এই মানুষরূপী অমানুষ ইবেরে ফুরি মারি ফেলন।,এই মানষ রুফি অমানষগারে ফুড়াই মারি হালন।,এই মানু রুপি অমানুটা্রে পুড়িয়ে হত্যা করা হোউক।
এই মিথিলাবাচিরে মনটা কয় জুতার বারি দিই এক বেটা দিয়ে পোসায় না কেন জিজ্ঞেস করি,"এই মিথিলারে মনে হয় দে জুতা দি মারি ,হউয়্যো বেডা লাগ ",এই মিথিলা বাচিরে মনগা কয় জুতার বাই দি এক বেডা দি ফোশায় না কা  জিজ্ঞাই,এই মিথিলারে মনটা কয় জোতার বারি দিই এক বেডা দিয়া অয় না কেন জিগাই।
এই মেয়ে বেয়াদব ওর ফাঁসি চাই,এই মেইফুয়া বেয়াদপ ইতির ফাসি চাই।,এই মাইয়া বেয়াদ্দব এতির ফাঁসি চাই।,এই মাইয়া বেয়াদব ওর ফাঁসি চাই।
এই রকম ছেলেকে পিটিয়ে মেরে ফেলা উচিত সময় টিভি,এইল্লে ফুয়ারে ঠিয়াই মারি ফেলন উচিত।,এইক্কা হোলারে ফিডি মারি ফেলন উচিত সময় টিভি।,এই রহম পোলারে পিডায়া মাইর‍্যা ফেলা উচিৎ। সময় টিভি।
এই রকম জানোয়ার ছেলে জেনো আর কারো গরে হয় না,এইল্লে জনোয়ার ফুয়া আর কেয়াত্তে ন অয় ফান।,এইক্কা জানোয়ার হোলা যন আর কারো ঘরে ন অয়।,এই রহম জানোয়ার পোলা যেন আর কারো ঘরে না অয়।
এই লুইচ্চা পোলা ইসলাম নিয়ে কিছু বলবিনা,এই লুচ্চো ফুয়া ইসলাম লই কিছু ন হবি।,এই লুইচ্চা হোলা ইসলাম ল‌ই কিছু ক‌ইছ না।,এই লুইচ্চা পোলা ইসলাম নিয়ে কিছু কবিনা।
এই লোকটা পাগলএর ভাষা এতো জগন্য,এই ফল ইবের ভাষা এইল্লে জঘন্য কিইয়া ।,এই লোকগা ফাগল এর ভাষা এতো জগ‌ইন্য।,"এই ব্যাডা পাগল, এর ভাষা এতো খারাপ।"
এই লোকটাকে জনগন মিলে মারা উচিত,মানুষ ইবেরে জনগণ মিলি মারি ফেলা উচিত ।,এই লোকগারে জনগন মিলি মারন উচিত।,এই ব্যাডারে জনগন মিল্লা মারা উচিৎ।
এই লোকের কঠিন শাস্তি চাইএ মানুষ নাকি জানোয়ার একে ফাঁসি না দিয়ে গরম তেলে ফেলে দেওয়া উচিত,এই মাইনষুর কঠিন শাস্তি চাই মানুষ না জানোয়ার ইতেরে ফাসি ন দি গরম তেলত ছারি দন উচিত।,এই লোকের কঠিন শাস্তি চাই এ মানষ নাকি জানোয়ার এতেরে ফাঁসি না দি গরম তেলে ফালাই দন উচিত।,এই ব্যাডার কঠিন শাস্তি চাই এ মানু নাহি জানোয়ার। একে ফাঁসি না দিয়ে গরম তেলে ফেলাইয়া দেওয়া উচিৎ।
এই শয়তান মহিলা কে জুতা মারুন মিথ্যা কথা বলে এই মহিলা,এই বেডিরে জুতা মরন মিছা হথা হয় ইবে।,এই শয়তান বেডিরে জুতা মারন মিছা কতা কয় এই বেডি।,এই শয়তান মহিলা কে জোতা মারুন মিথ্যা কতা কয় এই মহিলা।
এই শালা জানোয়ারকাছে পেলে ইচ্ছে মতো ধুলাই দেওয়ার মন চাইতেছে কুত্তা জানোয়ার ওনি তো তোর জন্মদাতা বাবাএভাবে অত্যাচার করলি তর কি একটুও হাত কাপেনি,এই আলা জানোয়ার অক্কলরে ফাইলি ইচ্ছা মতো খেছা দিতু মনে হর।কুত্তো জানোয়ার। ইবে তো জন্মদাতা  বাপ৷ ইবের গত হাত তুইলতে তোর গাত নো হাফে?,এই হালা জানোয়ার কাছে ফাইলে ইচ্ছা মতন ধোলাই দনের মন চার কুত্তা জানোয়ার হেমিয়া তো তোর জন্মদাতা বাব এভাবে অত্যাচার ক‌ইরলি তোর কি এক্কানাও আত কাফে ন?,এই হালা জানোয়াররে ধারে পাইলে ইচ্ছা মতো ধুলাই দেওয়ার মন চাইতেছে কুত্তা জানোয়ার ওনি তো তোর জন্মদাতা বাপ এভাবে অত্যাচার হরলোি।তর কি একটুও হাত কাপেনাই?
এই শালাকে গলায় পারা দেয়া দরকার,এই আলারে গলাত উরি দন দরহার,এই হালারে গলাত ফারা দন দরকার।,এই হালারে গলায় পারা দে ওয়া দরকার।
এই শালাকে দরে শাস্তি দেওয়া দরকার,এই আলারে ধরি শাস্তি দন দরহার।,এই হালারে ধরি শাস্তি দন দরকার।,এই হালারে ধইর‍্যা শাস্তি দেওয়া দরকার।
এই শালার পুতেরা মারমু,এই আলার ফুয়ারে মাইরগুম।,এই হালারহুতেরে মারমু।,এই হালার পুতেরে মারমু।
এই শালার ফাঁশি চাই,এই আলার ফাসি চাই।,এই হালার ফাঁশি চাই।,এই হালার ফাঁশি চাই।
এই শালী মিথ্যা বানোয়াট খবর কেন বলিস তোরা তর্গ মালাউনের খবর কে শুনে,"এই আলি বান্আয় মিছা হথা হর কিল্লাই মালাউনর হবর হনে উনে দে,।",এই হালী মিছা বানোয়াট খবর কিল্লাই কস তোরা তোরগো মালাউনের খবর কনে হুনে।,এই হালী মিত্যা বানোয়াট খবর কিজিন্যে কও তোরা তর্গ মালাউনের খবর কে হুনে।
এই শুয়েরের বাচ্ছা তুই নামাজকে কেনো গালি দিলি তুই তো খানকির পোলা যারজ সন্তান,এই শুরুর বাইচ্চে তুই নামাজরে কিল্লাই গাইল দিয়্যুছ তুইহাঙ্কির ফুয়া জারজ সন্তান।,এই শুয়রের বাইচ্ছা তুই নামাজরে কিল্লাই গাইল্লাইছত তুই তো খানকির হোলা যারজ সন্তান।,"এই শুয়োরের বাচ্ছা তুই নামাজকে গালি দিলি কিজিন্যে, তুই তো খানকির পোলা যারজ সন্তান।"
এই শোওরের বাচ্চা কে গুলি করে মারা হউক,এই শুরুর বাচ্চেরে গুলি গরি মারা অক।,এই শুউরের বাইচ্চারে গুলি করি মারন।,এই  শুয়োরের বাচ্চারে গুলি হইর‍্যা মারা অউক।
এই সব নস্টা দের কে আমাদের পবিত্র মা বোন দের সাথে মিশাবেন না# কারন আমাদের মা বোন রা ওদের মত নস্টা না,এই নষ্টা অক্কলর ওয়ারে আরার মা বইন অক্কল রে ন মিয়াইয়্যুন। হারন আরার মা বইন ইতারার ডইল্লে নষ্ট ন।,এইক্কা নষ্ট গোরে আনগোর পবিত্র মা বোইন গোর লগে মিয়াইয়েন না# কারন আনগোর মা বোইনরা হেগুনের মতন নষ্ট ন।,এই সব নস্টা দের কে মোদের পবিত্র মা বোন দের লগে মিশাবেন না। কারন মোদের মা বোন রা ওদের মত নস্টা না।
এই সমস্ত কুলাঙ্গারদের হাত পা ভেঙ্গে ঘরে ফেলে রাখা উচিৎ,এই সমস্ত কুলাংগার অক্কল্র হাত ঠ্যাং ভাংগি ঘরত ফেলাই রাহা উচিত।,এই সমস্ত কুলাঙ্গারগোরে আত বৈর ভাঙ্গি ঘরে হালাই রাখন উচিৎ।,এই সমস্তরেলাঙ্গারদের হাত পা ভাইঙ্গা ঘরে ফেলাই রাহা উচিৎ।
এই সালা কে জুতার মালা দিয়ে সারা শহর ঘুরানো উচিত শালা কুত্তার বাচ্চা,এই আলারে জুতার মালা দি গোডা শহর ঘুরা উচিত আলা কুত্তোর বাইচ্চে অক্কল।,এই হালারে জুতার মালা দি সারা শহর ঘুরানির উচিত হালা কুত্তার বাইচ্চা।,এই হালারে জোতার মালা দিয়া সারা শহর ঘুরানো উচিৎ হালা কুত্তার বাচ্চা।
এই সালাকে ফাঁসি দেওয়া দরকার,এই আলাএ ফাসি দেয়া অক।,এই হালারে ফাঁসি দন দরকার।,এই হালারে ফাঁসি দেওয়া দরকার।
এই সালাতো থাপ্পর না জুতা দিয়ে মাইর খাবে তার নিজ সন্তান থেকে৷ সালা মরার সময় পানিও পাবে না,এই আলা ইতের ফুয়াত্তুন চোয়ার নয় জুতার বারি হাইবু ।আলা মরিবের সমত ফানিও ন ফাইবু।,এই হালাতো থাপ্পর ন জোতা দি মাইর খাইবো হেতের নিজ সন্তান তুন৷ হালা মরার সময় ফানিও ফাইতোনো।,এই হালাতো থাপ্পর না জোতাইদ্যা মাইর খাবে তার নিজ সন্তান থেইক্কা৷ হালা মরার সময় পানিও পাইবে না।
এই সালারে পাইলে কুবামোতার হাত কাইটা গলাতে দিয়ে দেমো,এই আলারে ফাইলি হোবাইয়্যুম আথহাডি গলাত দি ফেলাইয়্যুম।,এই হালারে ফাইলে কুত্তা মোতার আত কাডি গলাত দি দিমু।,এই হালারে পাইলেরেবামোতার হাত কাইটা গলাতে দিয়ে দেতাম।
এই সালি তুই কি দালাল না কি,এই আলি তুই কি দালাল না ,এই হালি তুই কি দালাল নিকি?,এই হালি তুই কি দালাল নাহি?
এই সালেকে আমি যদি পাইতাম তাহলে ওকে কুত্তার মতো বাইরাতাম,এই আলারে ফাইলি আই কুত্তোর ডইল্লে ঠেয়াইতাম।,এই হালারে আঁই যদি ফাইতাম তাইলে এতেরে কুত্তার মতন মাইত্তাম।,এই হালারে মুই যদি পাইতাম তাইলে ওরে কুত্তার নাহান মারতাম।
এই হারামি টাকা আল্লাহ বাছাইয়া কেন রাখছে,এই হারামী ইবেরে আল্লাহ কিল্লাই বাচায় রাইক্ষি।,এই হারামির টিঁয়া আল্লাহ বাচাই কিল্লাই রাইখছে।,এই হারামি টাহা আল্লাহ বাছাইয়া কিজিন্যে রাখছে।
এই হারামী মিথ্যা বলা তোদের অভ্যাস,এই হারামি মিছা মাতন তোরার অভ্যাস।,এই হারামী মিছা কন তোগোর অভ্যাস।,এই হারামী মিথ্যা কওয়া তোগো অভ্যাস।
এই হালায় কাদলে আমার হাসি পায়,এই আলায় হান্দিলি আত্তে হাসি আইয়্যি।,এই হালায় কাঁইনলে আঁর আঁসি আইয়ে।,এই হালায় কানলে মোর হাসি পায়।
এই হালারে ফাঁসি দে,এই আলারে ফাসি দে।,এই হালারে ফাঁসি দে।,এই হালারে ফাঁসি দে।
এইরকম ভিডিও যারা ছাড়ে তাদের কে জুতা পিটা করা দরকার,এইল্লে ভিইও যারা ছারে ইতারারে জুতা ফিডা গরা উচিত।,এইক্কা ভিডিও যেগুন ছাড়ে হেগুনরে জুতা ফিডা করন দরকার।,এইরহম ভিডিও যারা ছাড়ে তাদেরকে জোতাইদ্যা পেডানো দরকার।
এক ঘন্টা কত নিবেন জানান এক রাত কত টাকা,এক ঘন্টা হত লইবেন জানাইয়্যুন এক রাইত হত।,এক ঘন্টা কত ল‌ইবেন জানান এক রাত কত টিঁয়া।,এক ঘন্টা কত নিবেন বলেন। এক রাইত কত টাহা।
এক রাতের রেড কতো জানতে পারি,এক রাইতুর রেইট হত জানিত ফারি ?,এক রাইতের রেট কত জাইনতে ফারি।,এক রাইতের রেট কতো জানতে পারি?
একটা মাগির কাছে বলে ইছছা পুরুন হয়েছে নডির ছাওয়াল,উজ্ঞো মাগীর বলে ইচ্ছা ফুরন অইয়্যি নাট্যর ফুয়া।,ওগ্গা মাগির কাছে বলে ইচ্ছা ফূরন অইছে নডির হুত।,এউক্কা মাগির ধারে কইয়া ইচ্ছা পূরণ অইছে নডির পোলা।
একমাত্র বেশ্যা মাগীরা এই কাজ করতে পারে,একমাত্র বেশ্যা মাগী অক্কল এইল্লে হাম গরিত ফারে।,একমাত্র বেইশ্যা মাগীরা এই কাম ক‌ইরতো ফারে।,একমাত্র বেইশ্যা মাগীরা এই কাম হরতে পারে।
একে জুতা পেটা করা দরকার শালা সুপার স্টার চুদাও সুপার স্টার এর স হবার যোগ্যতা আছে তর বাইনচুদ,ইতেরে জুতা ফিডা গরা দরহার আলা সুপারষ্টার চুদছ সুপার ষ্টার অইবের যইগ্যতা আছে না তুর বাইচুন ?,এতেরে জুতা ফিডা করন দরকার হালা সুপার স্টার হোন্দাও সুপার স্টার এর স হবার যোগ্যতা আছেনি তোর বাইনচোদ।,এরে জোতাইদ্যা পেডা দরকার হালা সুপার স্টার চুদাও সুপার স্টার এর স হওয়ার যোগ্যতা আলহে তোএ বাইঞ্চোদ।
এগুলা রে কুওার মতো পিঠানো দরকার মাগির পোলা তোরে যে বাপ জন্ম দিছে তাকেই মারোছ আল্লাহ তোর বিছার করবেই,ইগিনরে কুত্তোর ডইল্লে ঠেয়া ফরিবু মাগির ফুয়া তুরে যে বাপ জনম দিয়্যি তারেই মাইজ্জুছ আল্লাহ তুর বিচার গরিবু।,এগুনরে কুত্তার মতন ফিডানির দরকার মাগির হোলা তোরে যে বাফ জন্ম দিছে হেরেই মারোছ আল্লাহ তোর বিচার ক‌ইরবঝ।,এগুলারেরেওার নাহান পিডানো দরকার মাগির পোলা তোরে যে বাপ পয়দা হরছে তারেই মারো আল্লাহ তোর বিছার হরবে।
এটা একটা খানকি সালা রাও কুকুর,ইবে উজ্ঞো হাঙ্কি।,ইগা ওগ্গা খানকি হালা রাও কুত্তা।,এটা এউক্কা খানকি হালা কুত্তা।
এটা কুততা বললেও কম হবে আর মনে হয় চারাল ওরে মাইরা ফালাক,"ইবে উজ্ঞো কুত্তো হইলিও হম ,।",এটা কুত্তা ক‌ইলেও কম অইবো আর মনে অয় এতেরে মারি হালক।,এটারেততা কইলেও কম অইবে আর মনে অয় চারাল ওরে মাইরা ফালাক।
এটা কোন খানকির মাগির গলা আমি কিছু বুঝতে পারছি না আপনারা কি কিছু বুঝতে পারছেন,ইবে হোন হাঙ্কি মাগীর গলা আই কিছু বুইঝিন্নফারির অনরা কিছু বিঝর না ,ইগা কোন খানকির মাগির গলা আঁই কিছু বুইঝতে ফারিয়ের না আমনেরা কি কিছু বুইজ্জেন,"এটা কোন খানকির মাগির গলা মুই কিছু বোজতে আছি না, আমনহেরা কি কিছু বুঝতে পারছেন?"
এটা তো মনে হয় কলকাতা বাংলাদেশে হলে পিটিয়ে মেরে ফেলতাম,ইবে কলকাতাত ফান লার ্বাংলাদেশ অইলি এতনে মারি ফেলাইতাম।,ইগা তো মনে অয় কলকাতা বাংলাদেশে অইলে ফিডি মারি ফালাইতাম।,"এটা তো মনে অয় কলকাতা, বাংলাদেশে অইলে পিডাইয়া মাইর‍্যা ফেলতাম।"
এটা তো হিজলা,ইবে তো ইজারা।,ইগা তো হিজলা।,এটা তো হিজরা।
এটা মানুষ না জানোয়ার জানোয়ার টাকে গুলি করে মেরে ফেলা দরকার ওর বেঁচে থাকার অধিকার নেই,ইবে মানুষ নয় জানোয়ার জানোয়ার ইবেরে গু্লি গরি মারা উচিত ইতারার বাচিবের অধিকার নাই।,ইগা মানুষ না জানোয়ার জানোয়ার গারে গুলি করি মারি ফেলন দরকার হেতের বাঁচি থাইকবার অধিকার নাই।,এটা মানু না জানোয়ার জানোয়ার টারে গুলি হইর‍্যা মাইর‍্যা ফেলা দরকার ওর বেঁচে থাকার অধিকার নাই।
এটা হল বোকাচোদা,ইবে অইয়্যি দে বোকাচোদা।,ইগা অইলো বোকাচোদা।,এটা অইলো বোকাচোদা।
এটা হলো মদিৰ ৰাজনীতি মদি মানুষ না একটা পশু,ইবে অইয়্যি দে মোদির রাজনীতি ।ইতে মানুষ নয় ফশু।,ইগা অইলো মোদির রাজনীতি মোদি মানষ ন ওগ্গা ফশু।,এটা অইলো মোদির রজনিতি মোদি মানু না এউক্কা পশু।
এটাকে তো হাত পা কেটে মেরে ফেলা উচিত,ইতেরে আত ঠ্যাং হাডী মারি ফেলা উচিত।,ইগারে  তো আত বৈর কাডি মারি হালন উচিত।,এটারে হাত পা কাইট্টা মাইর‍্যা ফেলা উচিৎ।
এডমিনের মায়ের ভুদার মধ্যে ঢুকে পড়েছে ব্রিটিশ চীনের ও ও ভারতের সৈন,এডমিনর মার এডার ভুতুর গলি গেইয়্যি ব্রিটীশ চীন এদ্দের ভারতর সৈন্য।,এডমিনের মার হেডার মাইদে ঢুকি ফ‌ইচ্ছে ব্রিটিশ চীনের ও ভারতের সৈন্য।,এডমিনের মায়ের ভোডার মধ্যে ঢুকে পড়ছে ব্রিটিশ চীনের ও ভারতের সৈন।
এত বড় দুধ এক দিনে কয় লিটার দুয়া যাবে,এতর দুদ একদিনে হ লিটার দুয়া যাইবু।,এত ব দুধ এক দিনে ক লিটার দোয়া যাইবো!।,এত বড় দুধ এক দিনে কয় লিটার দুয়া যাইবে।
এত বড় দুধ টিপে মজা নাই,এতর দুদ চিবি মজা নাই।,এত ব দুধ টিবি মজা নাই।,এত বড় দুধ টিপে মজা নাই।
এতো অহংকার পাগললির বে‌শিদিন টিকবে না এই ভিখারী,এত অহংকার বেশি দিন ন টগবু ফইন্নি।,এতো অহংকার হাগলির বে‌শিদিন টিকতো নো এই হ‌ইরের।,এতো অহংকার বে‌শিদিন টেকবে না এই ভিখারী।
এতো মুসলিম থাকতে আল্লাহর ঘর মসজিদ কিভাবে মন্দির করে আল্লাহর ঘর মসজিদ ভেঙ্গে দিলে ওই মন্দিরে আল্লাহর গজব পরবে,মন্দিরুত আল্লাহর গজব ফরিবু।,এতো মুসলিম থাইকতে আল্লাহর ঘর মসজিদ কেননে মন্দির করে আল্লাহর ঘর মসজিদ ভাঙ্গি দিলে ওই মন্দিরে আল্লাহর গজব ফ‌ইরবো।,এতো মুসলিম থাকতে আল্লাহর ঘর মসজিদ কিভাবে মন্দির হরে আল্লাহর ঘর মসজিদ ভাইঙ্গা দিলে ওই মন্দিরে আল্লাহর গজব পরবে।
এদুনিয়াতে চুদি শান্তি পেলাম নাটাকা দিয়েই নয় আমার বদা পাইলে আমাকে আরো লাখ টাকা দিবেন,দুনিয়াত না চুদি শান্তি ফাইলাম না টিয়া দি আর বদা ফইলি আরো লাখ টিয়া দিবেন।,এদুনিয়াতে হোন্দাই শান্তি ফাইলাম না টিঁয়া দি ন আঁর হেডা ফাইলে আঁরে আরো লাক টেঁয়া দিবেন।,এ দুনিয়াতে চুদি শান্তি পাইলাম না। টাকা দিয়েই নয় মোর বদা পাইলে মরে আরো লাখ টাকা দেবেন।
এদের মত মাগিকে দেখে দেশের কম বয়সের ছেলে রা হেনডেল মারতে মারতে বাঘ দাস বাখা করে দিছে,ইতারার ডইল্লে মাগীরে দেহি দেশর ফুয়া ছা গিটার মারি চিয়্যে বেহা গরি ফেলার।,এগুনের মতন মাগিরে দেখি দেশের কম বয়সের হোলারা আত মাইরতে মাইরতে বাঘ দাস বেঁয়া করি দিছে।,এদের নাহান মাগিরে দেইখ্যা দেশের কম বয়সের পোলারা হেনডেল মারতে মারতে বাঘ দাস বাখা হইর‍্যা দেছে।
এদেরকে জুতা মারার দরকার,ইতারারে জুতআমারা দরহার।,এগুনরে জুতা মারন দরকার।,এদেরকে জোতা মারার দরকার।
এবার পুলিশ সালাকে গরম ডিম দেক কত বড় খারাপ সালা বাবার গায়ে হাত উঠায়,এলা ফুলিশ আলারে গরম ডিম দক আলা হইলে হারাপ বাফর গত হাত দে।,"এবার পুলিশ, হালারে গরম ডিম দক কত ব খারাপ হালা বাফের গায়ে আত উডায়।",এবার পুলিশ হালারে গরম ডিম দেউক কত বড় খারাপ হালা বাপের গায়ে হাত উডায়।
এমন কুলাঙ্গার ছেলে কে ফাঁসিতে দেয়া হোক,এইল্লে জকুলাংগার ফুয়ারে ফাসি দেয়া অক।,এমন কুলাঙ্গার হোলারে ফাঁসি দন হোক।,এমনরেলাঙ্গার পোলারে ফাঁসিতে দেওয়া হোউক।
এমন কুলাঙ্গার ছেলে বেচে থাকার চেয়ে না থাকায় শ্রেয়,এইল্লে কুলাংগার ফুয়া বাচি থাগনরতুন ন থাগন ভালা।,এমন কুলাঙ্গার হোলা বাচি থাকার তুন না থাকন‌ই বালা।,এমনরেলাঙ্গার পোলা বাইচে থাহার চেয়ে না থাহায় ভালো।
এমন খানকির ছেলে কে ফাসি দেয়া দরকার এগুলা কি দেখে না আমাদের পুলিশ ভাইয়েরা,এইল্লে হাংকিরে ফুয়া রে ফাসি দেয়া উচিত ইগিন ফুলিশঅক্কল ন দেহে।,এমন খানকির হোলারে ফাঁসি দেওন দরকার এগুন কি দেখে না আনগোর ফুলিশ ভাইয়েরা।,এমন খানকির পোলারে ফাসি দেওয়া দরকার এগুলা কি দেইখ্যা না মোদের পুলিশ ভাইয়েরা।
এমন ছেলে দিয়ে লাভ কি জানোয়ার কে ধরে পুলিশে দাও,এইল্লে ফুয়া দি কি লাভ জানোয়ারে ফুলিশুত দ।,এমন হোলা দি লাভ কিয়া জানোয়ার রে ধরি পুলিশে দন।,এমন পোলা দিয়া লাভ কি জানোয়াররে ধইর‍্যা পুলিশে দাও।
এমন জানোয়ার রে গলা টিপি মারা উচিত,এইল্লে জানোয়াররে গলা চিবি মারা উচিত।,এমন জানোয়ার রে গলা টিবি মারন উচিত।,এমন জানোয়ার রে গলা টিপি মারা দরকার।
এমন দৃশ্য শয্য করা যায় না অাল্লাহ তু‌মি মানুষের মানবতা এতটা নি‌চে নাম‌তে দিও না শয়তান‌কে এতটা ছে‌ড়ে দিও না শয্য করা যায় না,এইল্লেৃশ্য শয্য নো অর আল্লাহ তুই মাইনষুর মানবতারে এইল্লে নিচে নাইমতে ন দিউ । শতানরে এদ্দুর ছাড়ি নইদ্দু শয্য গরিন্নফারির।,এইক্কা দৃশ্য সৈয্য করন যায় না আল্লাহ তু‌মি মাইনষের মানবতা এতগা নি‌চে নামাইতে দিও না শতান‌রে এতগা ছাড় দিও না শয্য করন যায় না।,এরহম দৃশ্য শয্য করা যায় না আল্লাহ তু‌মি মানুর মানবতা এতটা নি‌চে নাম‌তে দিও না শয়তান‌কে এতটা ছে‌ড়ে দিও না সহ্য হরা যায় না।
এমন বেয়াদব তার গলা পা রা দাও মেয়াদ কে,এইল্লে বেয়াপ ইতের লাদি উরি ধর।,এইক্কা বেয়াদব হেতের গলা চোঁডি দ মেয়াদরে।,এরহম বেয়াদব তার গলায় পারা দেও।
এয়রকম ছেলেকে ফাঁসি দেওয়া দরকার সালার কুতার বাচ্চা,এইল্লে ফুয়ারে ফাসি দেয়া দরহার  আলা কুত্তার বাইচ্চে।,এইক্কা হোলারে ফাঁসি দন দরকার হালার কুত্তার বাইচ্চা।,এরহম পোলারে ফাঁসি দেওয়া দরকার হালার কুত্তার বাচ্চা।
এরকম ছেলেকে উলঙ্গ করে মরিচ দেওয়া উচিৎ সালা মাদারি চুদ,এইল্লে ফুয়ারে লেন্ডা গরি মরিচ দেয়াঅক আলা মাদারিচুদ।,এইক্কা হোলারে ল্যাংডা‌করি মরিচ দন  উচিৎ হালা মাদারচোদ।,এরহম পোলারে উলঙ্গ হইর‍্যা মরিচ দেওয়া দরকার। হালা মাদার চোদ।
এরকম জানোয়ার সন্তান যেন আল্লাহ কাউকে না দেন এই জানোয়ারটাকে এভাবেই পিটিয়ে মেরে ফেলা হোক আর কোন বিচার নেই,এই জানোয়াররে এইল্লে গরি ফিডী মারি ফেলাঅক । আর হোনো বিচার নাই।,এইক্কা জানোয়ার সন্তান যন আল্লাহ কাওরে না দে এই জানোয়ারগারে এইক্কা ফিডি মারি ফেলন অক আর কোনো বিচার নাই।,এরহম জানোয়ার সন্তান যেন আল্লাহ কাউরে না দেয়। এই জানোয়ারটারে এভাবেই পিডাইয়্যা মাইর‍্যা ফেলা হোউক আর কোন বিচার নাই।
এরে কানা চোদা তুরে কথা বলা কে শিখিয়েছ,আরে হানাচুদা তোরে হতা হনি হনে শিখাইয়্যি।,এরে কানা চোদা তোরে কতা কন কনে শিখাইছে।,এরে কানা চোদা তোরে কতা কওয়া হিকাইছে কেডা?
এসব কুলঙ্গার কে রিমান্ডে দেন,এইসব কুলাংগারঅক্কলরে রিমান্ডত দন।,এইক্কা কুলঙ্গাররে রিমান্ডে দেন।,এইসবরেলঙ্গার কে রিমান্ডে দেন।
